,date,day,cases,deaths
0,2020-02-28,0,2,0.0
1,2020-02-29,1,3,0.0
2,2020-03-01,2,3,0.0
3,2020-03-02,3,4,0.0
4,2020-03-03,4,4,0.0
5,2020-03-04,5,4,0.0
6,2020-03-05,6,5,0.0
7,2020-03-06,7,6,0.0
8,2020-03-07,8,6,0.0
9,2020-03-08,9,7,0.0
10,2020-03-09,10,11,0.0
11,2020-03-10,11,17,0.0
12,2020-03-11,12,22,0.0
13,2020-03-12,13,27,0.0
14,2020-03-13,14,40,0.0
15,2020-03-14,15,51,0.0
16,2020-03-15,16,76,0.0
17,2020-03-16,17,76,0.0
18,2020-03-17,18,107,1.0
19,2020-03-18,19,179,1.0
20,2020-03-19,20,279,2.0
21,2020-03-20,21,412,3.0
22,2020-03-21,22,548,4.0
23,2020-03-22,23,805,6.0
24,2020-03-23,24,922,9.0
